word,vocab_rank,semantic_rank,zone,pc1,pc2
ศีลจุ่ม,16091,7185,red,-0.10388854509182142,0.0037498837965630532
สังฆกรรม,16092,3733,red,-0.15747375811534783,-0.2381720503190979
สายรุ้ง,16093,40358,red,-0.078727470143592,-0.04565106598297232
สุทธาวาส,16094,18587,red,-0.03467085631912591,0.06740119655479272
สุพรรณบัฏ,16095,39742,red,-0.17187992026107005,-0.027255270897716177
สฺยง,16096,15208,red,-0.08509073719991868,0.022400870368697756
หรือยัง,16097,17406,red,-0.11804546663517002,-0.10356771490821079
หลับใหล,16098,12672,red,-0.12800615652307396,-0.07777049984373484
หวนคืน,16099,4151,red,-0.13318780248629403,-0.09479089041788116
อดัมส์,16100,21026,red,-0.014694526210109565,0.10860321295202786
อัครราชทูต,16101,36225,red,-0.029351926514374183,0.11144549683674865
อัลไลแอนซ์,16102,22316,red,-0.060334963074208194,0.14015675971338426
อากาศพลศาสตร์,16103,18700,red,-0.14217235632619776,-0.10911119276903515
